Geographicarea,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Belgium,Life expectancy,Total,2018,81.468,Units,Years,,,,,,,,UNPD2019,,,,,,
Belize,Life expectancy,Total,1970,65.566,Units,Years,,,,,,,,UNPD2019,,,,,,
Belize,Life expectancy,Total,2000,68.847,Units,Years,,,,,,,,UNPD2019,,,,,,
Belize,Life expectancy,Total,2018,74.496,Units,Years,,,,,,,,UNPD2019,,,,,,
Benin,Life expectancy,Total,1970,42.152,Units,Years,,,,,,,,UNPD2019,,,,,,
Benin,Life expectancy,Total,2000,55.391,Units,Years,,,,,,,,UNPD2019,,,,,,
Benin,Life expectancy,Total,2018,61.47,Units,Years,,,,,,,,UNPD2019,,,,,,
Bhutan,Life expectancy,Total,1970,39.635,Units,Years,,,,,,,,UNPD2019,,,,,,
Bhutan,Life expectancy,Total,2000,60.884,Units,Years,,,,,,,,UNPD2019,,,,,,
Bhutan,Life expectancy,Total,2018,71.46,Units,Years,,,,,,,,UNPD2019,,,,,,
Bolivia (Plurinational State of),Life expectancy,Total,1970,45.568,Units,Years,,,,,,,,UNPD2019,,,,,,
Bolivia (Plurinational State of),Life expectancy,Total,2000,62.452,Units,Years,,,,,,,,UNPD2019,,,,,,
Bolivia (Plurinational State of),Life expectancy,Total,2018,71.239,Units,Years,,,,,,,,UNPD2019,,,,,,
Bosnia and Herzegovina,Life expectancy,Total,1970,66.187,Units,Years,,,,,,,,UNPD2019,,,,,,
Bosnia and Herzegovina,Life expectancy,Total,2000,74.403,Units,Years,,,,,,,,UNPD2019,,,,,,
Bosnia and Herzegovina,Life expectancy,Total,2018,77.262,Units,Years,,,,,,,,UNPD2019,,,,,,
Botswana,Life expectancy,Total,1970,53.824,Units,Years,,,,,,,,UNPD2019,,,,,,
Botswana,Life expectancy,Total,2000,50.629,Units,Years,,,,,,,,UNPD2019,,,,,,
Botswana,Life expectancy,Total,2018,69.275,Units,Years,,,,,,,,UNPD2019,,,,,,
Brazil,Life expectancy,Total,1970,58.911,Units,Years,,,,,,,,UNPD2019,,,,,,
Brazil,Life expectancy,Total,2000,70.116,Units,Years,,,,,,,,UNPD2019,,,,,,
Brazil,Life expectancy,Total,2018,75.672,Units,Years,,,,,,,,UNPD2019,,,,,,
British Virgin Islands,Life expectancy,Total,1970,,Units,Years,,,,,,,,UNPD2019,,,,,,
British Virgin Islands,Life expectancy,Total,2000,,Units,Years,,,,,,,,UNPD2019,,,,,,
British Virgin Islands,Life expectancy,Total,2018,,Units,Years,,,,,,,,UNPD2019,,,,,,
Brunei Darussalam,Life expectancy,Total,1970,62.582,Units,Years,,,,,,,,UNPD2019,,,,,,
Brunei Darussalam,Life expectancy,Total,2000,72.809,Units,Years,,,,,,,,UNPD2019,,,,,,
Brunei Darussalam,Life expectancy,Total,2018,75.722,Units,Years,,,,,,,,UNPD2019,,,,,,
Bulgaria,Life expectancy,Total,1970,71.04,Units,Years,,,,,,,,UNPD2019,,,,,,
Bulgaria,Life expectancy,Total,2000,71.501,Units,Years,,,,,,,,UNPD2019,,,,,,
Bulgaria,Life expectancy,Total,2018,74.928,Units,Years,,,,,,,,UNPD2019,,,,,,
Burkina Faso,Life expectancy,Total,1970,39.095,Units,Years,,,,,,,,UNPD2019,,,,,,
Burkina Faso,Life expectancy,Total,2000,50.489,Units,Years,,,,,,,,UNPD2019,,,,,,
Burkina Faso,Life expectancy,Total,2018,61.174,Units,Years,,,,,,,,UNPD2019,,,,,,
Burundi,Life expectancy,Total,1970,43.841,Units,Years,,,,,,,,UNPD2019,,,,,,
Burundi,Life expectancy,Total,2000,49.091,Units,Years,,,,,,,,UNPD2019,,,,,,
Burundi,Life expectancy,Total,2018,61.247,Units,Years,,,,,,,,UNPD2019,,,,,,
Cabo Verde,Life expectancy,Total,1970,53.298,Units,Years,,,,,,,,UNPD2019,,,,,,
Cabo Verde,Life expectancy,Total,2000,68.583,Units,Years,,,,,,,,UNPD2019,,,,,,
Cabo Verde,Life expectancy,Total,2018,72.782,Units,Years,,,,,,,,UNPD2019,,,,,,
Cambodia,Life expectancy,Total,1970,41.566,Units,Years,,,,,,,,UNPD2019,,,,,,
Cambodia,Life expectancy,Total,2000,58.432,Units,Years,,,,,,,,UNPD2019,,,,,,
Cambodia,Life expectancy,Total,2018,69.57,Units,Years,,,,,,,,UNPD2019,,,,,,
Cameroon,Life expectancy,Total,1970,46.523,Units,Years,,,,,,,,UNPD2019,,,,,,
Cameroon,Life expectancy,Total,2000,50.993,Units,Years,,,,,,,,UNPD2019,,,,,,
