Geographicarea,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Italy,Life expectancy,Total,2000,79.554,Units,Years,,,,,,,,UNPD2019,,,,,,
Italy,Life expectancy,Total,2018,83.352,Units,Years,,,,,,,,UNPD2019,,,,,,
Jamaica,Life expectancy,Total,1970,67.917,Units,Years,,,,,,,,UNPD2019,,,,,,
Jamaica,Life expectancy,Total,2000,74.142,Units,Years,,,,,,,,UNPD2019,,,,,,
Jamaica,Life expectancy,Total,2018,74.368,Units,Years,,,,,,,,UNPD2019,,,,,,
Japan,Life expectancy,Total,1970,72.358,Units,Years,,,,,,,,UNPD2019,,,,,,
Japan,Life expectancy,Total,2000,81.171,Units,Years,,,,,,,,UNPD2019,,,,,,
Japan,Life expectancy,Total,2018,84.47,Units,Years,,,,,,,,UNPD2019,,,,,,
Jordan,Life expectancy,Total,1970,60.171,Units,Years,,,,,,,,UNPD2019,,,,,,
Jordan,Life expectancy,Total,2000,71.73,Units,Years,,,,,,,,UNPD2019,,,,,,
Jordan,Life expectancy,Total,2018,74.405,Units,Years,,,,,,,,UNPD2019,,,,,,
Kazakhstan,Life expectancy,Total,1970,62.542,Units,Years,,,,,,,,UNPD2019,,,,,,
Kazakhstan,Life expectancy,Total,2000,63.467,Units,Years,,,,,,,,UNPD2019,,,,,,
Kazakhstan,Life expectancy,Total,2018,73.236,Units,Years,,,,,,,,UNPD2019,,,,,,
Kenya,Life expectancy,Total,1970,52.557,Units,Years,,,,,,,,UNPD2019,,,,,,
Kenya,Life expectancy,Total,2000,50.921,Units,Years,,,,,,,,UNPD2019,,,,,,
Kenya,Life expectancy,Total,2018,66.342,Units,Years,,,,,,,,UNPD2019,,,,,,
Kiribati,Life expectancy,Total,1970,52.323,Units,Years,,,,,,,,UNPD2019,,,,,,
Kiribati,Life expectancy,Total,2000,63.144,Units,Years,,,,,,,,UNPD2019,,,,,,
Kiribati,Life expectancy,Total,2018,68.116,Units,Years,,,,,,,,UNPD2019,,,,,,
Kuwait,Life expectancy,Total,1970,65.715,Units,Years,,,,,,,,UNPD2019,,,,,,
Kuwait,Life expectancy,Total,2000,73.142,Units,Years,,,,,,,,UNPD2019,,,,,,
Kuwait,Life expectancy,Total,2018,75.398,Units,Years,,,,,,,,UNPD2019,,,,,,
Kyrgyzstan,Life expectancy,Total,1970,60.498,Units,Years,,,,,,,,UNPD2019,,,,,,
Kyrgyzstan,Life expectancy,Total,2000,66.338,Units,Years,,,,,,,,UNPD2019,,,,,,
Kyrgyzstan,Life expectancy,Total,2018,71.321,Units,Years,,,,,,,,UNPD2019,,,,,,
Lao People's Democratic Republic,Life expectancy,Total,1970,46.273,Units,Years,,,,,,,,UNPD2019,,,,,,
Lao People's Democratic Republic,Life expectancy,Total,2000,58.803,Units,Years,,,,,,,,UNPD2019,,,,,,
Lao People's Democratic Republic,Life expectancy,Total,2018,67.61,Units,Years,,,,,,,,UNPD2019,,,,,,
Latvia,Life expectancy,Total,1970,70.345,Units,Years,,,,,,,,UNPD2019,,,,,,
Latvia,Life expectancy,Total,2000,69.726,Units,Years,,,,,,,,UNPD2019,,,,,,
Latvia,Life expectancy,Total,2018,75.172,Units,Years,,,,,,,,UNPD2019,,,,,,
Lebanon,Life expectancy,Total,1970,66.067,Units,Years,,,,,,,,UNPD2019,,,,,,
Lebanon,Life expectancy,Total,2000,74.507,Units,Years,,,,,,,,UNPD2019,,,,,,
Lebanon,Life expectancy,Total,2018,78.875,Units,Years,,,,,,,,UNPD2019,,,,,,
Lesotho,Life expectancy,Total,1970,50.584,Units,Years,,,,,,,,UNPD2019,,,,,,
Lesotho,Life expectancy,Total,2000,47.691,Units,Years,,,,,,,,UNPD2019,,,,,,
Lesotho,Life expectancy,Total,2018,53.705,Units,Years,,,,,,,,UNPD2019,,,,,,
Liberia,Life expectancy,Total,1970,39.338,Units,Years,,,,,,,,UNPD2019,,,,,,
Liberia,Life expectancy,Total,2000,51.734,Units,Years,,,,,,,,UNPD2019,,,,,,
Liberia,Life expectancy,Total,2018,63.73,Units,Years,,,,,,,,UNPD2019,,,,,,
Libya,Life expectancy,Total,1970,56.052,Units,Years,,,,,,,,UNPD2019,,,,,,
Libya,Life expectancy,Total,2000,70.852,Units,Years,,,,,,,,UNPD2019,,,,,,
Libya,Life expectancy,Total,2018,72.724,Units,Years,,,,,,,,UNPD2019,,,,,,
Liechtenstein,Life expectancy,Total,1970,,Units,Years,,,,,,,,UNPD2019,,,,,,
Liechtenstein,Life expectancy,Total,2000,,Units,Years,,,,,,,,UNPD2019,,,,,,
Liechtenstein,Life expectancy,Total,2018,,Units,Years,,,,,,,,UNPD2019,,,,,,
Lithuania,Life expectancy,Total,1970,71.391,Units,Years,,,,,,,,UNPD2019,,,,,,
Lithuania,Life expectancy,Total,2000,70.967,Units,Years,,,,,,,,UNPD2019,,,,,,
Lithuania,Life expectancy,Total,2018,75.737,Units,Years,,,,,,,,UNPD2019,,,,,,
Luxembourg,Life expectancy,Total,1970,69.974,Units,Years,,,,,,,,UNPD2019,,,,,,
Luxembourg,Life expectancy,Total,2000,77.652,Units,Years,,,,,,,,UNPD2019,,,,,,
Luxembourg,Life expectancy,Total,2018,82.102,Units,Years,,,,,,,,UNPD2019,,,,,,
Madagascar,Life expectancy,Total,1970,44.771,Units,Years,,,,,,,,UNPD2019,,,,,,
Madagascar,Life expectancy,Total,2000,58.485,Units,Years,,,,,,,,UNPD2019,,,,,,
Madagascar,Life expectancy,Total,2018,66.681,Units,Years,,,,,,,,UNPD2019,,,,,,
Malawi,Life expectancy,Total,1970,39.756,Units,Years,,,,,,,,UNPD2019,,,,,,
Malawi,Life expectancy,Total,2000,45.09,Units,Years,,,,,,,,UNPD2019,,,,,,
Malawi,Life expectancy,Total,2018,63.798,Units,Years,,,,,,,,UNPD2019,,,,,,
Malaysia,Life expectancy,Total,1970,64.595,Units,Years,,,,,,,,UNPD2019,,,,,,
Malaysia,Life expectancy,Total,2000,72.594,Units,Years,,,,,,,,UNPD2019,,,,,,
Malaysia,Life expectancy,Total,2018,75.997,Units,Years,,,,,,,,UNPD2019,,,,,,
Maldives,Life expectancy,Total,1970,44.142,Units,Years,,,,,,,,UNPD2019,,,,,,
Maldives,Life expectancy,Total,2000,70.173,Units,Years,,,,,,,,UNPD2019,,,,,,
Maldives,Life expectancy,Total,2018,78.627,Units,Years,,,,,,,,UNPD2019,,,,,,
Mali,Life expectancy,Total,1970,32.388,Units,Years,,,,,,,,UNPD2019,,,,,,
Mali,Life expectancy,Total,2000,48.069,Units,Years,,,,,,,,UNPD2019,,,,,,
Mali,Life expectancy,Total,2018,58.893,Units,Years,,,,,,,,UNPD2019,,,,,,
Malta,Life expectancy,Total,1970,71.354,Units,Years,,,,,,,,UNPD2019,,,,,,
Malta,Life expectancy,Total,2000,79.05,Units,Years,,,,,,,,UNPD2019,,,,,,
Malta,Life expectancy,Total,2018,82.376,Units,Years,,,,,,,,UNPD2019,,,,,,
Marshall Islands,Life expectancy,Total,1970,,Units,Years,,,,,,,,UNPD2019,,,,,,
Marshall Islands,Life expectancy,Total,2000,,Units,Years,,,,,,,,UNPD2019,,,,,,
Marshall Islands,Life expectancy,Total,2018,,Units,Years,,,,,,,,UNPD2019,,,,,,
Mauritania,Life expectancy,Total,1970,50.404,Units,Years,,,,,,,,UNPD2019,,,,,,
Mauritania,Life expectancy,Total,2000,60.706,Units,Years,,,,,,,,UNPD2019,,,,,,
Mauritania,Life expectancy,Total,2018,64.704,Units,Years,,,,,,,,UNPD2019,,,,,,
Mauritius,Life expectancy,Total,1970,63.223,Units,Years,,,,,,,,UNPD2019,,,,,,
Mauritius,Life expectancy,Total,2000,71.2,Units,Years,,,,,,,,UNPD2019,,,,,,
Mauritius,Life expectancy,Total,2018,74.863,Units,Years,,,,,,,,UNPD2019,,,,,,
Mexico,Life expectancy,Total,1970,61.362,Units,Years,,,,,,,,UNPD2019,,,,,,
Mexico,Life expectancy,Total,2000,74.34,Units,Years,,,,,,,,UNPD2019,,,,,,
Mexico,Life expectancy,Total,2018,74.992,Units,Years,,,,,,,,UNPD2019,,,,,,
Micronesia (Federated States of),Life expectancy,Total,1970,58.851,Units,Years,,,,,,,,UNPD2019,,,,,,
Micronesia (Federated States of),Life expectancy,Total,2000,64.55,Units,Years,,,,,,,,UNPD2019,,,,,,
Micronesia (Federated States of),Life expectancy,Total,2018,67.755,Units,Years,,,,,,,,UNPD2019,,,,,,
Monaco,Life expectancy,Total,1970,,Units,Years,,,,,,,,UNPD2019,,,,,,
Monaco,Life expectancy,Total,2000,,Units,Years,,,,,,,,UNPD2019,,,,,,
Monaco,Life expectancy,Total,2018,,Units,Years,,,,,,,,UNPD2019,,,,,,
Mongolia,Life expectancy,Total,1970,55.364,Units,Years,,,,,,,,UNPD2019,,,,,,
Mongolia,Life expectancy,Total,2000,62.869,Units,Years,,,,,,,,UNPD2019,,,,,,
Mongolia,Life expectancy,Total,2018,69.689,Units,Years,,,,,,,,UNPD2019,,,,,,
Montenegro,Life expectancy,Total,1970,69.929,Units,Years,,,,,,,,UNPD2019,,,,,,
Montenegro,Life expectancy,Total,2000,73.228,Units,Years,,,,,,,,UNPD2019,,,,,,
Montenegro,Life expectancy,Total,2018,76.77,Units,Years,,,,,,,,UNPD2019,,,,,,
Montserrat,Life expectancy,Total,1970,,Units,Years,,,,,,,,UNPD2019,,,,,,
Montserrat,Life expectancy,Total,2000,,Units,Years,,,,,,,,UNPD2019,,,,,,
Montserrat,Life expectancy,Total,2018,,Units,Years,,,,,,,,UNPD2019,,,,,,
Morocco,Life expectancy,Total,1970,52.572,Units,Years,,,,,,,,UNPD2019,,,,,,
Morocco,Life expectancy,Total,2000,68.684,Units,Years,,,,,,,,UNPD2019,,,,,,
Morocco,Life expectancy,Total,2018,76.453,Units,Years,,,,,,,,UNPD2019,,,,,,
Mozambique,Life expectancy,Total,1970,41.343,Units,Years,,,,,,,,UNPD2019,,,,,,
Mozambique,Life expectancy,Total,2000,48.946,Units,Years,,,,,,,,UNPD2019,,,,,,
Mozambique,Life expectancy,Total,2018,60.163,Units,Years,,,,,,,,UNPD2019,,,,,,
Myanmar,Life expectancy,Total,1970,48.796,Units,Years,,,,,,,,UNPD2019,,,,,,
Myanmar,Life expectancy,Total,2000,60.063,Units,Years,,,,,,,,UNPD2019,,,,,,
Myanmar,Life expectancy,Total,2018,66.867,Units,Years,,,,,,,,UNPD2019,,,,,,
Namibia,Life expectancy,Total,1970,52.669,Units,Years,,,,,,,,UNPD2019,,,,,,
Namibia,Life expectancy,Total,2000,52.192,Units,Years,,,,,,,,UNPD2019,,,,,,
Namibia,Life expectancy,Total,2018,63.373,Units,Years,,,,,,,,UNPD2019,,,,,,
Nauru,Life expectancy,Total,1970,,Units,Years,,,,,,,,UNPD2019,,,,,,
Nauru,Life expectancy,Total,2000,,Units,Years,,,,,,,,UNPD2019,,,,,,
Nauru,Life expectancy,Total,2018,,Units,Years,,,,,,,,UNPD2019,,,,,,
Nepal,Life expectancy,Total,1970,40.881,Units,Years,,,,,,,,UNPD2019,,,,,,
Nepal,Life expectancy,Total,2000,62.288,Units,Years,,,,,,,,UNPD2019,,,,,,
Nepal,Life expectancy,Total,2018,70.478,Units,Years,,,,,,,,UNPD2019,,,,,,
Netherlands,Life expectancy,Total,1970,73.808,Units,Years,,,,,,,,UNPD2019,,,,,,
Netherlands,Life expectancy,Total,2000,78.187,Units,Years,,,,,,,,UNPD2019,,,,,,
Netherlands,Life expectancy,Total,2018,82.143,Units,Years,,,,,,,,UNPD2019,,,,,,
New Zealand,Life expectancy,Total,1970,71.467,Units,Years,,,,,,,,UNPD2019,,,,,,
New Zealand,Life expectancy,Total,2000,78.324,Units,Years,,,,,,,,UNPD2019,,,,,,
New Zealand,Life expectancy,Total,2018,82.145,Units,Years,,,,,,,,UNPD2019,,,,,,
Nicaragua,Life expectancy,Total,1970,53.519,Units,Years,,,,,,,,UNPD2019,,,,,,
Nicaragua,Life expectancy,Total,2000,69.527,Units,Years,,,,,,,,UNPD2019,,,,,,
Nicaragua,Life expectancy,Total,2018,74.275,Units,Years,,,,,,,,UNPD2019,,,,,,
Niger,Life expectancy,Total,1970,35.883,Units,Years,,,,,,,,UNPD2019,,,,,,
Niger,Life expectancy,Total,2000,49.928,Units,Years,,,,,,,,UNPD2019,,,,,,
Niger,Life expectancy,Total,2018,62.024,Units,Years,,,,,,,,UNPD2019,,,,,,
Nigeria,Life expectancy,Total,1970,40.971,Units,Years,,,,,,,,UNPD2019,,,,,,
Nigeria,Life expectancy,Total,2000,46.267,Units,Years,,,,,,,,UNPD2019,,,,,,
Nigeria,Life expectancy,Total,2018,54.332,Units,Years,,,,,,,,UNPD2019,,,,,,
Niue,Life expectancy,Total,1970,,Units,Years,,,,,,,,UNPD2019,,,,,,
Niue,Life expectancy,Total,2000,,Units,Years,,,,,,,,UNPD2019,,,,,,
Niue,Life expectancy,Total,2018,,Units,Years,,,,,,,,UNPD2019,,,,,,
North Macedonia,Life expectancy,Total,1970,66.301,Units,Years,,,,,,,,UNPD2019,,,,,,
North Macedonia,Life expectancy,Total,2000,73.267,Units,Years,,,,,,,,UNPD2019,,,,,,
North Macedonia,Life expectancy,Total,2018,75.688,Units,Years,,,,,,,,UNPD2019,,,,,,
Norway,Life expectancy,Total,1970,74.14,Units,Years,,,,,,,,UNPD2019,,,,,,
Norway,Life expectancy,Total,2000,78.793,Units,Years,,,,,,,,UNPD2019,,,,,,
Norway,Life expectancy,Total,2018,82.271,Units,Years,,,,,,,,UNPD2019,,,,,,
Oman,Life expectancy,Total,1970,50.31,Units,Years,,,,,,,,UNPD2019,,,,,,
Oman,Life expectancy,Total,2000,72.126,Units,Years,,,,,,,,UNPD2019,,,,,,
Oman,Life expectancy,Total,2018,77.633,Units,Years,,,,,,,,UNPD2019,,,,,,
Pakistan,Life expectancy,Total,1970,52.649,Units,Years,,,,,,,,UNPD2019,,,,,,
Pakistan,Life expectancy,Total,2000,62.82,Units,Years,,,,,,,,UNPD2019,,,,,,
Pakistan,Life expectancy,Total,2018,67.114,Units,Years,,,,,,,,UNPD2019,,,,,,
Palau,Life expectancy,Total,1970,,Units,Years,,,,,,,,UNPD2019,,,,,,
Palau,Life expectancy,Total,2000,,Units,Years,,,,,,,,UNPD2019,,,,,,
Palau,Life expectancy,Total,2018,,Units,Years,,,,,,,,UNPD2019,,,,,,
Panama,Life expectancy,Total,1970,65.532,Units,Years,,,,,,,,UNPD2019,,,,,,
Panama,Life expectancy,Total,2000,75.06,Units,Years,,,,,,,,UNPD2019,,,,,,
Panama,Life expectancy,Total,2018,78.329,Units,Years,,,,,,,,UNPD2019,,,,,,
Papua New Guinea,Life expectancy,Total,1970,45.916,Units,Years,,,,,,,,UNPD2019,,,,,,
Papua New Guinea,Life expectancy,Total,2000,59.265,Units,Years,,,,,,,,UNPD2019,,,,,,
Papua New Guinea,Life expectancy,Total,2018,64.263,Units,Years,,,,,,,,UNPD2019,,,,,,
Paraguay,Life expectancy,Total,1970,65.368,Units,Years,,,,,,,,UNPD2019,,,,,,
Paraguay,Life expectancy,Total,2000,70.546,Units,Years,,,,,,,,UNPD2019,,,,,,
Paraguay,Life expectancy,Total,2018,74.131,Units,Years,,,,,,,,UNPD2019,,,,,,
Peru,Life expectancy,Total,1970,54.174,Units,Years,,,,,,,,UNPD2019,,,,,,
Peru,Life expectancy,Total,2000,71.111,Units,Years,,,,,,,,UNPD2019,,,,,,
Peru,Life expectancy,Total,2018,76.516,Units,Years,,,,,,,,UNPD2019,,,,,,
Philippines,Life expectancy,Total,1970,63.155,Units,Years,,,,,,,,UNPD2019,,,,,,
Philippines,Life expectancy,Total,2000,68.793,Units,Years,,,,,,,,UNPD2019,,,,,,
Philippines,Life expectancy,Total,2018,71.095,Units,Years,,,,,,,,UNPD2019,,,,,,
Poland,Life expectancy,Total,1970,70.149,Units,Years,,,,,,,,UNPD2019,,,,,,
Poland,Life expectancy,Total,2000,73.7,Units,Years,,,,,,,,UNPD2019,,,,,,
Poland,Life expectancy,Total,2018,78.544,Units,Years,,,,,,,,UNPD2019,,,,,,
Portugal,Life expectancy,Total,1970,67.335,Units,Years,,,,,,,,UNPD2019,,,,,,
Portugal,Life expectancy,Total,2000,76.749,Units,Years,,,,,,,,UNPD2019,,,,,,
Portugal,Life expectancy,Total,2018,81.857,Units,Years,,,,,,,,UNPD2019,,,,,,
Qatar,Life expectancy,Total,1970,68.156,Units,Years,,,,,,,,UNPD2019,,,,,,
Qatar,Life expectancy,Total,2000,77.467,Units,Years,,,,,,,,UNPD2019,,,,,,
Qatar,Life expectancy,Total,2018,80.1,Units,Years,,,,,,,,UNPD2019,,,,,,
Republic of Korea,Life expectancy,Total,1970,61.28,Units,Years,,,,,,,,UNPD2019,,,,,,
Republic of Korea,Life expectancy,Total,2000,76.047,Units,Years,,,,,,,,UNPD2019,,,,,,
Republic of Korea,Life expectancy,Total,2018,82.846,Units,Years,,,,,,,,UNPD2019,,,,,,
Republic of Moldova,Life expectancy,Total,1970,65.045,Units,Years,,,,,,,,UNPD2019,,,,,,
Republic of Moldova,Life expectancy,Total,2000,67.006,Units,Years,,,,,,,,UNPD2019,,,,,,
Republic of Moldova,Life expectancy,Total,2018,71.808,Units,Years,,,,,,,,UNPD2019,,,,,,
Romania,Life expectancy,Total,1970,68.123,Units,Years,,,,,,,,UNPD2019,,,,,,
Romania,Life expectancy,Total,2000,70.47,Units,Years,,,,,,,,UNPD2019,,,,,,
Romania,Life expectancy,Total,2018,75.924,Units,Years,,,,,,,,UNPD2019,,,,,,
Russian Federation,Life expectancy,Total,1970,68.5,Units,Years,,,,,,,,UNPD2019,,,,,,
Russian Federation,Life expectancy,Total,2000,65.082,Units,Years,,,,,,,,UNPD2019,,,,,,
Russian Federation,Life expectancy,Total,2018,72.386,Units,Years,,,,,,,,UNPD2019,,,,,,
Rwanda,Life expectancy,Total,1970,44.696,Units,Years,,,,,,,,UNPD2019,,,,,,
Rwanda,Life expectancy,Total,2000,48.649,Units,Years,,,,,,,,UNPD2019,,,,,,
Rwanda,Life expectancy,Total,2018,68.7,Units,Years,,,,,,,,UNPD2019,,,,,,
Saint Kitts and Nevis,Life expectancy,Total,1970,,Units,Years,,,,,,,,UNPD2019,,,,,,
Saint Kitts and Nevis,Life expectancy,Total,2000,,Units,Years,,,,,,,,UNPD2019,,,,,,
Saint Kitts and Nevis,Life expectancy,Total,2018,,Units,Years,,,,,,,,UNPD2019,,,,,,
Saint Lucia,Life expectancy,Total,1970,63.667,Units,Years,,,,,,,,UNPD2019,,,,,,
Saint Lucia,Life expectancy,Total,2000,73.319,Units,Years,,,,,,,,UNPD2019,,,,,,
Saint Lucia,Life expectancy,Total,2018,76.057,Units,Years,,,,,,,,UNPD2019,,,,,,
Saint Vincent and the Grenadines,Life expectancy,Total,1970,63.691,Units,Years,,,,,,,,UNPD2019,,,,,,
Saint Vincent and the Grenadines,Life expectancy,Total,2000,70.809,Units,Years,,,,,,,,UNPD2019,,,,,,
Saint Vincent and the Grenadines,Life expectancy,Total,2018,72.415,Units,Years,,,,,,,,UNPD2019,,,,,,
Samoa,Life expectancy,Total,1970,59.919,Units,Years,,,,,,,,UNPD2019,,,,,,
Samoa,Life expectancy,Total,2000,68.748,Units,Years,,,,,,,,UNPD2019,,,,,,
Samoa,Life expectancy,Total,2018,73.187,Units,Years,,,,,,,,UNPD2019,,,,,,
San Marino,Life expectancy,Total,1970,,Units,Years,,,,,,,,UNPD2019,,,,,,
San Marino,Life expectancy,Total,2000,,Units,Years,,,,,,,,UNPD2019,,,,,,
San Marino,Life expectancy,Total,2018,,Units,Years,,,,,,,,UNPD2019,,,,,,
Sao Tome and Principe,Life expectancy,Total,1970,55.358,Units,Years,,,,,,,,UNPD2019,,,,,,
Sao Tome and Principe,Life expectancy,Total,2000,61.365,Units,Years,,,,,,,,UNPD2019,,,,,,
Sao Tome and Principe,Life expectancy,Total,2018,70.17,Units,Years,,,,,,,,UNPD2019,,,,,,
Saudi Arabia,Life expectancy,Total,1970,52.703,Units,Years,,,,,,,,UNPD2019,,,,,,
Saudi Arabia,Life expectancy,Total,2000,72.561,Units,Years,,,,,,,,UNPD2019,,,,,,
Saudi Arabia,Life expectancy,Total,2018,74.998,Units,Years,,,,,,,,UNPD2019,,,,,,
Senegal,Life expectancy,Total,1970,39.227,Units,Years,,,,,,,,UNPD2019,,,,,,
Senegal,Life expectancy,Total,2000,57.787,Units,Years,,,,,,,,UNPD2019,,,,,,
Senegal,Life expectancy,Total,2018,67.665,Units,Years,,,,,,,,UNPD2019,,,,,,
Serbia,Life expectancy,Total,1970,67.738,Units,Years,,,,,,,,UNPD2019,,,,,,
Serbia,Life expectancy,Total,2000,72.037,Units,Years,,,,,,,,UNPD2019,,,,,,
Serbia,Life expectancy,Total,2018,75.849,Units,Years,,,,,,,,UNPD2019,,,,,,
Seychelles,Life expectancy,Total,1970,66.341,Units,Years,,,,,,,,UNPD2019,,,,,,
Seychelles,Life expectancy,Total,2000,71.105,Units,Years,,,,,,,,UNPD2019,,,,,,
Seychelles,Life expectancy,Total,2018,73.333,Units,Years,,,,,,,,UNPD2019,,,,,,
Sierra Leone,Life expectancy,Total,1970,36.098,Units,Years,,,,,,,,UNPD2019,,,,,,
Sierra Leone,Life expectancy,Total,2000,39.441,Units,Years,,,,,,,,UNPD2019,,,,,,
Sierra Leone,Life expectancy,Total,2018,54.309,Units,Years,,,,,,,,UNPD2019,,,,,,
Singapore,Life expectancy,Total,1970,68.088,Units,Years,,,,,,,,UNPD2019,,,,,,
Singapore,Life expectancy,Total,2000,77.969,Units,Years,,,,,,,,UNPD2019,,,,,,
Singapore,Life expectancy,Total,2018,83.458,Units,Years,,,,,,,,UNPD2019,,,,,,
Slovakia,Life expectancy,Total,1970,70.151,Units,Years,,,,,,,,UNPD2019,,,,,,
Slovakia,Life expectancy,Total,2000,73.288,Units,Years,,,,,,,,UNPD2019,,,,,,
Slovakia,Life expectancy,Total,2018,77.388,Units,Years,,,,,,,,UNPD2019,,,,,,
Slovenia,Life expectancy,Total,1970,69.425,Units,Years,,,,,,,,UNPD2019,,,,,,
Slovenia,Life expectancy,Total,2000,75.924,Units,Years,,,,,,,,UNPD2019,,,,,,
Slovenia,Life expectancy,Total,2018,81.172,Units,Years,,,,,,,,UNPD2019,,,,,,
Solomon Islands,Life expectancy,Total,1970,56.203,Units,Years,,,,,,,,UNPD2019,,,,,,
Solomon Islands,Life expectancy,Total,2000,67.442,Units,Years,,,,,,,,UNPD2019,,,,,,
Solomon Islands,Life expectancy,Total,2018,72.835,Units,Years,,,,,,,,UNPD2019,,,,,,
Somalia,Life expectancy,Total,1970,40.957,Units,Years,,,,,,,,UNPD2019,,,,,,
Somalia,Life expectancy,Total,2000,50.869,Units,Years,,,,,,,,UNPD2019,,,,,,
Somalia,Life expectancy,Total,2018,57.068,Units,Years,,,,,,,,UNPD2019,,,,,,
South Africa,Life expectancy,Total,1970,52.62,Units,Years,,,,,,,,UNPD2019,,,,,,
South Africa,Life expectancy,Total,2000,56.048,Units,Years,,,,,,,,UNPD2019,,,,,,
South Africa,Life expectancy,Total,2018,63.857,Units,Years,,,,,,,,UNPD2019,,,,,,
South Sudan,Life expectancy,Total,1970,35.807,Units,Years,,,,,,,,UNPD2019,,,,,,
South Sudan,Life expectancy,Total,2000,49.166,Units,Years,,,,,,,,UNPD2019,,,,,,
South Sudan,Life expectancy,Total,2018,57.604,Units,Years,,,,,,,,UNPD2019,,,,,,
Spain,Life expectancy,Total,1970,71.996,Units,Years,,,,,,,,UNPD2019,,,,,,
Spain,Life expectancy,Total,2000,79.329,Units,Years,,,,,,,,UNPD2019,,,,,,
Spain,Life expectancy,Total,2018,83.433,Units,Years,,,,,,,,UNPD2019,,,,,,
Sri Lanka,Life expectancy,Total,1970,64.097,Units,Years,,,,,,,,UNPD2019,,,,,,
Sri Lanka,Life expectancy,Total,2000,71.333,Units,Years,,,,,,,,UNPD2019,,,,,,
Sri Lanka,Life expectancy,Total,2018,76.812,Units,Years,,,,,,,,UNPD2019,,,,,,
State of Palestine,Life expectancy,Total,1970,55.771,Units,Years,,,,,,,,UNPD2019,,,,,,
State of Palestine,Life expectancy,Total,2000,71.022,Units,Years,,,,,,,,UNPD2019,,,,,,
State of Palestine,Life expectancy,Total,2018,73.895,Units,Years,,,,,,,,UNPD2019,,,,,,
Sudan,Life expectancy,Total,1970,52.234,Units,Years,,,,,,,,UNPD2019,,,,,,
Sudan,Life expectancy,Total,2000,58.472,Units,Years,,,,,,,,UNPD2019,,,,,,
Sudan,Life expectancy,Total,2018,65.095,Units,Years,,,,,,,,UNPD2019,,,,,,
Suriname,Life expectancy,Total,1970,62.911,Units,Years,,,,,,,,UNPD2019,,,,,,
Suriname,Life expectancy,Total,2000,67.822,Units,Years,,,,,,,,UNPD2019,,,,,,
Suriname,Life expectancy,Total,2018,71.57,Units,Years,,,,,,,,UNPD2019,,,,,,
Sweden,Life expectancy,Total,1970,74.46,Units,Years,,,,,,,,UNPD2019,,,,,,
Sweden,Life expectancy,Total,2000,79.725,Units,Years,,,,,,,,UNPD2019,,,,,,
Sweden,Life expectancy,Total,2018,82.654,Units,Years,,,,,,,,UNPD2019,,,,,,
Switzerland,Life expectancy,Total,1970,73.105,Units,Years,,,,,,,,UNPD2019,,,,,,
Switzerland,Life expectancy,Total,2000,79.858,Units,Years,,,,,,,,UNPD2019,,,,,,
Switzerland,Life expectancy,Total,2018,83.63,Units,Years,,,,,,,,UNPD2019,,,,,,
Syrian Arab Republic,Life expectancy,Total,1970,58.814,Units,Years,,,,,,,,UNPD2019,,,,,,
Syrian Arab Republic,Life expectancy,Total,2000,73.11,Units,Years,,,,,,,,UNPD2019,,,,,,
Syrian Arab Republic,Life expectancy,Total,2018,71.779,Units,Years,,,,,,,,UNPD2019,,,,,,
Tajikistan,Life expectancy,Total,1970,54.007,Units,Years,,,,,,,,UNPD2019,,,,,,
Tajikistan,Life expectancy,Total,2000,61.974,Units,Years,,,,,,,,UNPD2019,,,,,,
Tajikistan,Life expectancy,Total,2018,70.879,Units,Years,,,,,,,,UNPD2019,,,,,,
Thailand,Life expectancy,Total,1970,59.385,Units,Years,,,,,,,,UNPD2019,,,,,,
Thailand,Life expectancy,Total,2000,70.623,Units,Years,,,,,,,,UNPD2019,,,,,,
Thailand,Life expectancy,Total,2018,76.931,Units,Years,,,,,,,,UNPD2019,,,,,,
Timor-Leste,Life expectancy,Total,1970,39.529,Units,Years,,,,,,,,UNPD2019,,,,,,
Timor-Leste,Life expectancy,Total,2000,59.002,Units,Years,,,,,,,,UNPD2019,,,,,,
Timor-Leste,Life expectancy,Total,2018,69.26,Units,Years,,,,,,,,UNPD2019,,,,,,
Togo,Life expectancy,Total,1970,46.568,Units,Years,,,,,,,,UNPD2019,,,,,,
Togo,Life expectancy,Total,2000,53.491,Units,Years,,,,,,,,UNPD2019,,,,,,
Togo,Life expectancy,Total,2018,60.76,Units,Years,,,,,,,,UNPD2019,,,,,,
Tokelau,Life expectancy,Total,1970,,Units,Years,,,,,,,,UNPD2019,,,,,,
Tokelau,Life expectancy,Total,2000,,Units,Years,,,,,,,,UNPD2019,,,,,,
Tokelau,Life expectancy,Total,2018,,Units,Years,,,,,,,,UNPD2019,,,,,,
Tonga,Life expectancy,Total,1970,64,Units,Years,,,,,,,,UNPD2019,,,,,,
