Geographicarea,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Egypt,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2014,2,,%,Reported,Free,,,,South and North Sinai are not covered; only ever-married women; applied all-women factor,,DHS 2014,,,End of fieldwork,,2014,20 to 24 years old
El Salvador,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2014,5.8,,%,Reported,Free,,,,,,Encuesta Nacional de Salud (ENS/MICS) 2014,,,End of fieldwork,,2014,20 to 24 years old
Equatorial Guinea,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2011,8.6,,%,Reported,Free,,,,,,DHS 2011,,,End of fieldwork,,2011,20 to 24 years old
Eritrea,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2010,12.9,,%,Reported,Free,,,,,,EPHS 2010,,,End of fieldwork,,2010,20 to 24 years old
Eswatini,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2014,0.8,,%,Reported,Free,,,,,,MICS 2014,,,End of fieldwork,,2014,20 to 24 years old
Ethiopia,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2016,14.1,,%,Reported,Free,,,,,,DHS 2016,,,End of fieldwork,,2016,20 to 24 years old
Gabon,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2012,5.6,,%,Reported,Free,,,,,,DHS 2012,,,End of fieldwork,,2012,20 to 24 years old
Gambia,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2018,7.5,,%,Reported,Free,,,,,,MICS 2018,,,End of fieldwork,,2018,20 to 24 years old
Georgia,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2018,0.3,,%,Reported,Free,,,,,,MICS 2018,,,End of fieldwork,,2018,20 to 24 years old
Ghana,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2017,4.9,,%,Reported,Free,,,,,,Maternal Health Survey 2017,,,End of fieldwork,,2017,20 to 24 years old
Guatemala,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2015,6.2,,%,Reported,Free,,,,,,DHS 2015,,,End of fieldwork,,2015,20 to 24 years old
Guinea,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2018,17,,%,Reported,Free,,,,,,DHS 2018,,,End of fieldwork,,2018,20 to 24 years old
Guinea-Bissau,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2014,6.3,,%,Reported,Free,,,,,,MICS 2014,,,End of fieldwork,,2014,20 to 24 years old
Guyana,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2014,3.6,,%,Reported,Free,,,,Data also collected on those in visiting relationships but was not included in calculation of indicator,,MICS 2014,,,End of fieldwork,,2014,20 to 24 years old
Haiti,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2017,2.1,,%,Reported,Free,,,,,,DHS 2016-17,,,End of fieldwork,,2016-17,20 to 24 years old
Honduras,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2012,7.6,,%,Reported,Free,,,,,,DHS 2011-12,,,End of fieldwork,,2011-12,20 to 24 years old
India,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2016,6.8,,%,Reanalysed,Free,,,,Estimate calculated at HQ to include married or cohabited,,NFHS 2015-16,,,End of fieldwork,,2015-16,20 to 24 years old
Indonesia,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2017,2,,%,Reported,Free,,,,,,DHS 2017,,,End of fieldwork,,2017,20 to 24 years old
Iran (Islamic Republic of),Percentage of women (aged 20-24 years) married or in union before age 15,Total,2010,2.7,,%,Reported,Free,,,,,,MIDHS 2010,,,End of fieldwork,,2010,20 to 24 years old
Iraq,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2018,7.2,,%,Reported,Free,,,,,,MICS 2018,,,End of fieldwork,,2018,20 to 24 years old
Jamaica,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2011,1.4,,%,Reported,Free,,,,,,MICS 2011,,,End of fieldwork,,2011,20 to 24 years old
Jordan,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2018,1.5,,%,Reported,Free,,,,,,DHS 2017-18,,,End of fieldwork,,2018,20 to 24 years old
Kazakhstan,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2015,0.2,,%,Reported,Free,,,,,,MICS 2015,,,End of fieldwork,,2015,20 to 24 years old
Kenya,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2014,4.4,,%,Reported,Free,,,,,,DHS 2014,,,End of fieldwork,,2014,20 to 24 years old
Kiribati,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2009,2.8,,%,Reported,Free,,,,,,DHS 2009,,,End of fieldwork,,2009,20 to 24 years old
Kyrgyzstan,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2018,0.3,,%,Reported,Free,,,,,,MICS 2018,,,End of fieldwork,,2018,20 to 24 years old
Lao People's Democratic Republic,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2017,7.1,,%,Reported,Free,,,,,,MICS 2017,,,End of fieldwork,,2017,20 to 24 years old
Lebanon,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2009,1.2,,%,Reported,Free,,,,,,MICS 2009,,,End of fieldwork,,2009,20 to 24 years old
Lesotho,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2018,1,,%,Reported,Free,,,,,,MICS 2018,,,End of fieldwork,,2018,20 to 24 years old
Liberia,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2013,8.8,,%,Reported,Free,,,,,,DHS 2013,,,End of fieldwork,,2013,20 to 24 years old
Madagascar,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2018,12.7,,%,Reported,Free,,,,,,MICS 2018,,,End of fieldwork,,2018,20 to 24 years old
Malawi,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2015,9,,%,Reported,Free,,,,,,DHS 2015,,,End of fieldwork,,2015,20 to 24 years old
Maldives,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2017,0,,%,Reported,Free,,,,,,DHS 2016-17,,,End of fieldwork,,2016-17,20 to 24 years old
